tempo,x,y,referencia,ang_control,angulo
1541268294.9013858,127,10,160,0,77.59258147259925
1541268294.9323268,127.2,10,160,0,77.66546940843955
1541268294.963794,127.2,10,160,0,77.66546940843955
1541268294.9951057,127,10,160,0,77.59258147259925
1541268295.0262341,126.8,10,160,0,77.51973431214574
1541268295.0579114,126.2,10,160,0,77.30143949044887
1541268295.0895274,125.4,10,160,0,77.01096269774482
1541268295.1240065,124.8,10,160,0,76.7935492227705
1541268295.1546276,124.2,10,160,0,76.57652225433753
1541268295.1873353,123.6,10,160,0,76.35988697361714
1541268295.2196414,123.4,10,160,0,76.28776314146798
1541268295.2543766,123,10,160,0,76.14364849830146
1541268295.2853084,122.6,10,160,0,75.99971246052769
1541268295.3176427,122.2,10,160,0,75.85595650967328
1541268295.3500047,121.8,10,160,0,75.71238211449071
1541268295.382232,121.2,10,160,0,75.49736411991684
1541268295.4152155,120.8,10,160,0,75.35424995539833
1541268295.4514844,120,10,160,0,75.06858282186245
1541268295.4852226,119,9,160,0,74.80911420670654
1541268295.5184114,117.6,9,160,0,74.31553945874074
1541268295.550656,116.4,9,160,0,73.89436461609986
1541268295.5801828,115.2,9,160,0,73.47497007803565
1541268295.6105082,114.4,9,160,0,73.19637930960896
1541268295.6389194,114,9,160,0,73.05738923409092
1541268295.6691988,114.2,9,160,0,73.12685870523579
1541268295.6962647,114.4,9,160,0,73.19637930960896
1541268295.7266505,114.6,9,160,0,73.26595089875723
1541268295.7551055,115.2,9,160,0,73.47497007803565
1541268295.7840662,116,9,160,0,73.75436695452574
1541268295.8127394,116.6,9,160,0,73.9644377081114
1541268295.8417263,117.6,10,160,0,74.21617090245272
1541268295.866041,119.8,10,160,0,74.99728397923137
1541268295.8990731,123.8,10,160,0,76.43205489578204
1541268295.9237313,129.8,10,160,0,78.61663026868973
1541268295.9556932,138,11,160,0,81.60090535214755
1541268295.986012,147.2,11,160,0,85.09000112773637
1541268296.0154858,157.6,12,160,0,89.07096068057794
1541268296.046547,167.8,12,160,0,93.01685132285255
1541268296.0775008,177.8,13,160,0,96.90424295187634
1541268296.1084774,187.4,13,160,0,100.55845694812832
1541268296.1400535,197.6,14,160,0,104.44180527527531
1541268296.164561,207,15,160,0,107.95947609047414
1541268296.1932862,214.4,15,160,0,110.56470540384537
1541268296.223661,221.4,15,160,0,112.95014472801726
1541268296.2523007,227.8,16,160,0,115.21261958824076
1541268296.27965,232.6,17,160,0,116.91655461695133
1541268296.3078887,236.2,17,160,0,118.05168690064056
1541268296.3346467,240,17,160,0,119.2244191902009
1541268296.3628552,242.6,17,160,0,120.01169162083096
1541268296.3976486,244,17,160,0,120.43051234692973
1541268296.4252524,245.2,17,160,0,120.78666319685007
1541268296.4534323,246.2,17,160,0,121.08145517406149
1541268296.4879332,247.2,16,160,0,121.19723437386381
1541268296.515776,248,16,160,0,121.42956561483851
1541268296.542997,249,16,160,0,121.71836855430803
1541268296.5685236,249.8,16,160,0,121.94812323512825
1541268296.5964572,250.6,16,160,0,122.17673456119286
1541268296.625574,251.4,17,160,0,122.5851208418249
1541268296.6544354,252.2,17,160,0,122.81211158585307
1541268296.6820304,253,17,160,0,123.03794860233376
1541268296.7095435,253.8,17,160,0,123.26263370115757
1541268296.7360864,254.6,17,160,0,123.48616881551298
1541268296.7630696,255,17,160,0,123.5975057656109
