x,y,referencia,ang_control,angulo
180.6,28,160,0,98.87006598595167
183.6,29,160,0,100.21244642063967
186.6,29,160,0,101.47805341027585
189.8,29,160,0,102.81560802083239
193,29,160,0,104.1391083116505
196.2,29,160,0,105.44738569785633
199.4,29,160,0,106.73936170364065
202.4,29,160,0,107.93490648413093
205.4,29,160,0,109.1145201784641
207.6,29,160,0,109.96905827417044
210.6,29,160,0,111.11952946767903
213.6,29,160,0,112.2524296600328
216.6,30,160,0,113.52756803655816
219.4,30,160,0,114.5567546638342
222.8,30,160,0,115.78411617589359
225.4,30,160,0,116.70591328912758
228,30,160,0,117.61302782308448
230.6,30,160,0,118.50536394311901
233,30,160,0,119.31588597295922
235,31,160,0,120.17352002964432
237,31,160,0,120.83294447736878
238.4,31,160,0,121.28922326261309
239.4,31,160,0,121.61245819983165
240.2,31,160,0,121.8694409297886
240.8,31,160,0,122.06124258545405
241.4,31,160,0,122.25224327400988
241.8,31,160,0,122.37913247127435
242,31,160,0,122.44244378372113
242.2,31,160,0,122.5056662815819
242.4,31,160,0,122.56879999797914
242.6,31,160,0,122.63184496680475
242.8,31,160,0,122.694801222715
242.8,31,160,0,122.694801222715
242.6,31,160,0,122.63184496680475
242.4,31,160,0,122.56879999797914
242.2,31,160,0,122.5056662815819
242,31,160,0,122.44244378372113
241.8,31,160,0,122.37913247127435
241,30,160,0,121.92608114174962
239,30,160,0,121.28672819304748
235.4,30,160,0,120.11373315098243
231.8,30,160,0,118.91220807953239
226.6,29,160,0,116.94864469994856
220.6,29,160,0,114.82504494173604
214.8,29,160,0,112.70056317568354
209.8,29,160,0,110.81443432254464
204.8,29,160,0,108.8799048167321
200.8,29,160,0,107.29921999431085
197,29,160,0,105.77194805685487
193,29,160,0,104.1391083116505
188.6,29,160,0,102.31560647204464
184.2,29,160,0,100.46641598407169
179.4,29,160,0,98.42379877971369
174.8,29,160,0,96.445779425785
170.4,29,160,0,94.53915229790069
166.4,30,160,0,92.81843978084811
161.2,30,160,0,90.52886909778945
157.2,30,160,0,88.76612783299993
153,30,160,0,86.91781917547185
148.8,30,160,0,85.07590720766748
144.2,30,160,0,83.07034641571921
139.8,30,160,0,81.1677484432768
135.4,30,160,0,79.28457695796116
131.4,31,160,0,77.49941217668663
127.4,31,160,0,75.81754086093083
123.4,31,160,0,74.16025077623705
119.2,31,160,0,72.44892716345551
114,32,160,0,70.23283132320836
109.6,32,160,0,68.50795996665543
105.2,32,160,0,66.82302237839086
101,32,160,0,65.25325178737384
97.4,32,160,0,63.93847692243819
94.4,33,160,0,62.68204387095273
91.4,33,160,0,61.623968290707516
89.2,33,160,0,60.86119374715984
88,33,160,0,60.44983598065656
87.4,33,160,0,60.24540261369643
87,33,160,0,60.109575122340466
86.6,33,160,0,59.97411679476094
86.4,33,160,0,59.90652606963138
86.2,33,160,0,59.83902763607636
86,33,160,0,59.77162149216751
85.8,33,160,0,59.70430763495987
85.6,33,160,0,59.63708606049745
85.4,33,160,0,59.56995676381895
85.2,33,160,0,59.50291973896327
84.8,33,160,0,59.369122475910984
84.6,33,160,0,59.30236222084399
84,33,160,0,59.102634839733504
83,33,160,0,58.771599717082424
81.6,33,160,0,58.31201914174857
80.4,33,160,0,57.921680195441766
78.8,33,160,0,57.40636855801325
77.2,34,160,0,56.6893691754392
75.6,35,160,0,55.972778413323425
74.4,35,160,0,55.596656799462025
73,35,160,0,55.16208319400076
71.6,36,160,0,54.51480687686888
70.4,36,160,0,54.148852985793845
69,37,160,0,53.504579240878805
67.6,37,160,0,53.0854098675003
66,38,160,0,52.38604315126727
64,39,160,0,51.57192265431589
61.6,41,160,0,50.41296896380939
59.8,41,160,0,49.90205792035068
58,41,160,0,49.398705354995535
56.6,41,160,0,49.01237665686875
56,41,160,0,48.84817946092505
56.2,41,160,0,48.902820758037876
57.2,41,160,0,49.17739567807816
59.2,40,160,0,49.9697407281103
62.6,40,160,0,50.93491308022433
66,40,160,0,51.927218126009166
71.2,39,160,0,53.7256393823121
77.6,37,160,0,56.181129889541246
84.8,36,160,0,58.76521531200765
92,35,160,0,61.45380926895664
100.6,34,160,0,64.75947073521321
109,34,160,0,67.96377305985456
115.4,34,160,0,70.50765330267387
121.6,33,160,0,73.17666749731222
128,32,160,0,75.96375653207353
134.4,32,160,0,78.69006752597979
140.4,32,160,0,81.29420582342358
147.8,31,160,0,84.5973984102822
153.6,31,160,0,87.15974748679348
158.8,31,160,0,89.46703137734576
163.4,31,160,0,91.50977178761997
167.2,31,160,0,93.19458946511043
170.2,30,160,0,94.48632381788832
174,30,160,0,96.14662565964667
176.8,30,160,0,97.36356666415575
179.4,30,160,0,98.48765691331012
182,30,160,0,99.60520415501294
184.6,30,160,0,100.71542304203884
186.4,30,160,0,101.47934587596555
188.6,31,160,0,102.50058782331337
190.8,30,160,0,103.32892409938222
