x_media,x,y,referencia,ang_control,angulo
158.8,154,54,160,0,89.925
157.6,154,53,160,0,89.85
156.4,154,54,160,0,89.775
155.2,154,54,160,0,89.69999999999999
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
153.8,153,54,160,0,89.6125
153.8,154,54,160,0,89.6125
153.8,154,54,160,0,89.6125
153.8,154,54,160,0,89.6125
153.8,154,54,160,0,89.6125
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,54,160,0,89.625
154,154,55,160,0,89.625
154,154,56,160,0,89.625
154.2,155,58,160,0,89.63749999999999
154.4,155,60,160,0,89.65
154.6,155,60,160,0,89.6625
155,156,63,160,0,89.6875
155.4,156,67,160,0,89.7125
155.8,157,70,160,0,89.7375
156.2,157,70,160,0,89.76249999999999
156.8,158,74,160,0,89.8
157.4,159,79,160,0,89.8375
158.2,160,83,160,0,89.88749999999999
158.8,160,88,160,0,89.925
159.4,160,88,160,0,89.9625
160,161,95,160,0,90.0
160.6,162,97,160,0,90.0375
161.2,163,98,160,0,90.07499999999999
162.2,165,99,160,0,90.13749999999999
163.2,165,99,160,0,90.19999999999999
164.2,166,100,160,0,90.26249999999999
165.2,167,101,160,0,90.32499999999999
166.2,168,102,160,0,90.38749999999999
167,169,103,160,0,90.4375
167.8,169,103,160,0,90.4875
168.6,170,104,160,0,90.5375
169.6,172,105,160,0,90.6
170.6,173,106,160,0,90.6625
171.8,175,107,160,0,90.7375
173,175,107,160,0,90.8125
174.4,177,108,160,0,90.9
175.6,178,110,160,0,90.975
177,180,111,160,0,91.0625
178.4,182,113,160,0,91.15
179.8,182,113,160,0,91.2375
181.2,184,114,160,0,91.32499999999999
182.8,186,116,160,0,91.425
184.4,188,118,160,0,91.525
185.6,188,118,160,0,91.6
187.2,190,121,160,0,91.69999999999999
188.6,191,123,160,0,91.7875
190,193,126,160,0,91.875
191.4,195,128,160,0,91.9625
192.8,195,128,160,0,92.05
194.2,197,129,160,0,92.13749999999999
195.8,199,131,160,0,92.2375
197.2,200,129,160,0,92.32499999999999
198.2,200,129,160,0,92.38749999999999
199.2,200,120,160,0,92.44999999999999
197.8,190,7,160,0,92.3625
196.4,192,8,160,0,92.275
194.8,192,8,160,0,92.175
193.6,194,11,160,0,92.1
192.6,195,12,160,0,92.0375
194,197,15,160,0,92.125
195.4,199,18,160,0,92.2125
196.8,199,18,160,0,92.3
198.2,201,20,160,0,92.38749999999999
200,204,23,160,0,92.5
201.8,206,27,160,0,92.6125
204,210,30,160,0,92.75
206.8,213,34,160,0,92.925
210,217,40,160,0,93.125
212.6,217,40,160,0,93.2875
216.6,226,54,160,0,93.5375
220.8,231,65,160,0,93.8
225.6,237,76,160,0,94.1
231,244,89,160,0,94.4375
236.4,244,89,160,0,94.775
241.2,250,97,160,0,95.07499999999999
245.6,253,99,160,0,95.35
249.6,257,101,160,0,95.6
252.8,260,103,160,0,95.8
256.6,263,105,160,0,96.0375
260,267,107,160,0,96.25
262.8,267,107,160,0,96.425
265.4,270,110,160,0,96.58749999999999
268.2,274,112,160,0,96.76249999999999
271,277,116,160,0,96.9375
273.6,280,119,160,0,97.1
276.8,283,124,160,0,97.3
280.2,287,129,160,0,97.51249999999999
282.8,287,129,160,0,97.675
285.2,289,133,160,0,97.82499999999999
286.6,287,132,160,0,97.9125
285.2,276,110,160,0,97.82499999999999
274.2,232,6,160,0,97.13749999999999
263.2,232,6,160,0,96.44999999999999
252,233,8,160,0,95.75
241.6,235,10,160,0,95.1
233.6,236,12,160,0,94.6
234.6,237,16,160,0,94.6625
236,239,19,160,0,94.75
237.6,241,22,160,0,94.85
239.2,243,27,160,0,94.94999999999999
241.2,246,32,160,0,95.07499999999999
243.8,250,38,160,0,95.2375
246,250,38,160,0,95.375
249.6,259,53,160,0,95.6
253.8,264,65,160,0,95.8625
258.8,271,78,160,0,96.175
264.6,279,93,160,0,96.5375
271,282,97,160,0,96.9375
276.4,286,97,160,0,97.27499999999999
281.4,289,98,160,0,97.58749999999999
285.6,292,99,160,0,97.85
288.8,295,101,160,0,98.05
292.2,299,103,160,0,98.26249999999999
295.4,302,106,160,0,98.46249999999999
298.6,305,111,160,0,98.6625
301.8,308,118,160,0,98.8625
304.4,308,117,160,0,99.02499999999999
306.2,308,117,160,0,99.13749999999999
304.6,294,75,160,0,99.0375
297.4,269,5,160,0,98.58749999999999
289.8,270,8,160,0,98.1125
282.8,273,14,160,0,97.675
275.8,273,14,160,0,97.2375
272.4,277,21,160,0,97.02499999999999
274,277,21,160,0,97.125
275.8,279,26,160,0,97.2375
277.8,283,32,160,0,97.3625
280.4,286,37,160,0,97.52499999999999
282.6,288,42,160,0,97.6625
285.2,290,47,160,0,97.82499999999999
288,293,53,160,0,98.0
290.2,294,56,160,0,98.13749999999999
292,295,58,160,0,98.25
293.6,296,61,160,0,98.35
295.2,298,62,160,0,98.44999999999999
296.6,300,66,160,0,98.5375
298,301,71,160,0,98.625
299.6,303,76,160,0,98.725
301.6,306,82,160,0,98.85
303.6,308,91,160,0,98.975
305.8,311,101,160,0,99.1125
308.4,314,113,160,0,99.27499999999999
296.6,244,2,160,0,98.5375
283.8,242,5,160,0,97.7375
270.4,241,8,160,0,96.89999999999999
256.4,241,8,160,0,96.02499999999999
241.8,241,11,160,0,95.1125
241.4,242,15,160,0,95.0875
241.4,242,20,160,0,95.0875
242,244,25,160,0,95.125
242.8,245,31,160,0,95.175
244.4,249,38,160,0,95.275
246.8,254,46,160,0,95.425
250.4,260,59,160,0,95.65
255.2,268,72,160,0,95.94999999999999
260.8,273,85,160,0,96.3
265.8,274,91,160,0,96.6125
269.8,274,95,160,0,96.8625
272.6,274,95,160,0,97.0375
274,275,99,160,0,97.125
274.4,275,103,160,0,97.14999999999999
274.6,275,107,160,0,97.1625
274.8,275,112,160,0,97.175
275.2,276,118,160,0,97.19999999999999
275.6,277,125,160,0,97.225
275.8,276,130,160,0,97.2375
275.2,272,131,160,0,97.19999999999999
254.4,171,9,160,0,95.9
232.8,168,12,160,0,94.55
210.6,166,16,160,0,93.1625
188.2,164,21,160,0,91.76249999999999
166,161,27,160,0,90.375
163.6,159,34,160,0,90.225
161.4,157,42,160,0,90.0875
159.8,158,53,160,0,89.9875
159,160,67,160,0,89.9375
159.4,163,84,160,0,89.9625
160.6,165,99,160,0,90.0375
160.4,156,102,160,0,90.025
158.4,148,104,160,0,89.9
154.6,141,106,160,0,89.6625
150.2,141,106,160,0,89.38749999999999
143.8,133,110,160,0,88.9875
137.8,126,113,160,0,88.6125
131.8,118,118,160,0,88.2375
125.6,110,124,160,0,87.85
117.4,100,126,160,0,87.3375
110.8,100,126,160,0,86.925
103.6,90,125,160,0,86.475
93.8,69,62,160,0,85.8625
81,46,10,160,0,85.0625
69.2,41,14,160,0,84.32499999999999
56.6,37,19,160,0,83.5375
46,37,19,160,0,82.875
38.8,33,24,160,0,82.425
35.6,30,29,160,0,82.225
33,28,36,160,0,82.0625
30.4,24,44,160,0,81.9
27.2,21,56,160,0,81.69999999999999
24.6,20,69,160,0,81.5375
22.4,19,82,160,0,81.4
20.6,19,82,160,0,81.2875
19.4,18,92,160,0,81.2125
18.4,16,93,160,0,81.15
17.4,15,94,160,0,81.0875
16.6,15,97,160,0,81.0375
15.6,14,100,160,0,80.975
14.8,14,100,160,0,80.925
14.2,13,104,160,0,80.88749999999999
13.8,13,110,160,0,80.8625
13.2,12,118,160,0,80.82499999999999
12.6,11,127,160,0,80.7875
13.4,18,109,160,0,80.8375
14.4,18,109,160,0,80.9
19.2,37,56,160,0,81.19999999999999
27.8,55,8,160,0,81.7375
37.4,59,12,160,0,82.3375
46.2,62,15,160,0,82.88749999999999
55.8,66,19,160,0,83.4875
61.6,66,19,160,0,83.85
64,67,23,160,0,84.0
63.8,58,28,160,0,83.9875
62,53,36,160,0,83.875
59.6,54,41,160,0,83.725
57.2,54,49,160,0,83.57499999999999
54.6,54,49,160,0,83.4125
54,55,60,160,0,83.375
54.6,56,75,160,0,83.4125
55.2,57,78,160,0,83.44999999999999
55.8,57,78,160,0,83.4875
57,60,79,160,0,83.5625
58.8,64,81,160,0,83.675
61,67,81,160,0,83.8125
63.4,69,83,160,0,83.9625
66,70,83,160,0,84.125
68,70,83,160,0,84.25
68.8,68,80,160,0,84.3
68.4,65,75,160,0,84.275
65.2,53,65,160,0,84.07499999999999
59.6,42,44,160,0,83.725
55.4,49,39,160,0,83.4625
51.6,49,39,160,0,83.225
49.4,54,42,160,0,83.0875
50.6,59,46,160,0,83.1625
55.4,66,49,160,0,83.4625
58.8,66,49,160,0,83.675
64.6,78,50,160,0,84.0375
73,96,48,160,0,84.5625
84.4,116,55,160,0,85.275
98,134,58,160,0,86.125
111.6,134,58,160,0,86.975
120,120,51,160,0,87.5
118.8,90,47,160,0,87.425
108.2,63,41,160,0,86.76249999999999
90.8,47,44,160,0,85.675
73.4,47,44,160,0,84.5875
59.4,50,43,160,0,83.7125
52.2,54,39,160,0,83.26249999999999
52,62,28,160,0,83.25
55,62,26,160,0,83.4375
58,62,26,160,0,83.625
60.6,63,28,160,0,83.7875
62.8,65,27,160,0,83.925
63.6,66,28,160,0,83.975
64.4,66,28,160,0,84.025
65,65,29,160,0,84.0625
64.8,62,29,160,0,84.05
65.4,68,25,160,0,84.0875
66.4,71,25,160,0,84.15
68.2,75,21,160,0,84.26249999999999
71.4,81,19,160,0,84.4625
76.2,86,19,160,0,84.76249999999999
79.8,86,19,160,0,84.9875
84,92,22,160,0,85.25
89.4,102,21,160,0,85.5875
95,109,23,160,0,85.9375
100.6,114,22,160,0,86.2875
106.2,114,22,160,0,86.63749999999999
111.2,117,21,160,0,86.94999999999999
115,121,20,160,0,87.1875
118.2,125,21,160,0,87.38749999999999
121.2,129,23,160,0,87.57499999999999
124.2,129,23,160,0,87.76249999999999
127.4,133,25,160,0,87.9625
130.4,136,25,160,0,88.15
133.4,140,21,160,0,88.3375
135.8,141,22,160,0,88.4875
138.2,141,22,160,0,88.63749999999999
140.6,145,23,160,0,88.7875
143.6,151,21,160,0,88.975
146.4,154,21,160,0,89.15
149.2,155,18,160,0,89.32499999999999
152.2,156,18,160,0,89.51249999999999
153.6,152,17,160,0,89.6
153.8,152,17,160,0,89.6125
152.4,147,12,160,0,89.525
150.8,147,8,160,0,89.425
149.6,150,7,160,0,89.35
149.6,152,7,160,0,89.35
149.6,152,7,160,0,89.35
151.4,156,7,160,0,89.4625
153.4,157,8,160,0,89.5875
155.2,159,9,160,0,89.69999999999999
156.6,159,9,160,0,89.7875
159,164,9,160,0,89.9375
161,166,10,160,0,90.0625
163,167,10,160,0,90.1875
164.8,168,9,160,0,90.3
166.8,169,9,160,0,90.425
167.8,169,9,160,0,90.4875
168.6,170,9,160,0,90.5375
169.6,172,9,160,0,90.6
170.6,173,9,160,0,90.6625
171.4,173,9,160,0,90.7125
172.6,175,10,160,0,90.7875
173.8,176,10,160,0,90.8625
174.8,177,11,160,0,90.925
175.6,177,11,160,0,90.975
176.4,177,11,160,0,91.025
177,178,11,160,0,91.0625
177.4,178,11,160,0,91.0875
177.6,178,11,160,0,91.1
177.8,178,12,160,0,91.1125
178,178,12,160,0,91.125
178,178,12,160,0,91.125
178,178,12,160,0,91.125
178,178,12,160,0,91.125
177.8,177,12,160,0,91.1125
177.6,177,12,160,0,91.1
176.8,174,10,160,0,91.05
175.8,173,8,160,0,90.9875
175.2,175,5,160,0,90.94999999999999
175.8,180,1,160,0,90.9875
176.4,180,1,160,0,91.025
157.6,80.0,160.0,160,0,89.85
139.0,80.0,160.0,160,0,88.6875
120.0,80.0,160.0,160,0,87.5
100.0,80.0,160.0,160,0,86.25
80.0,80.0,160.0,160,0,85.0
80.0,80.0,160.0,160,0,85.0
80.0,80.0,160.0,160,0,85.0
80.0,80.0,160.0,160,0,85.0
80.0,80.0,160.0,160,0,85.0
80.0,80.0,160.0,160,0,85.0
80.0,80.0,160.0,160,0,85.0
80.0,80.0,160.0,160,0,85.0
80.0,80.0,160.0,160,0,85.0
