x_media,x,y,referencia,ang_control,angulo
160.28,167,112,160,0,95
160.56,167,112,160,0,95
160.84,167,112,160,0,95
161.12,167,111,160,0,95
161.4,167,111,160,0,95
161.72,168,112,160,0,95
162.04,168,112,160,0,95
162.4,169,112,160,0,95
162.76,169,113,160,0,95
163.16,170,113,160,0,95
163.6,171,114,160,0,95
164.04,171,114,160,0,95
164.48,171,115,160,0,95
164.96,172,116,160,0,95
165.48,173,117,160,0,95
166.04,174,117,160,0,95
166.64,175,118,160,0,95
167.32,177,117,160,0,95
168,177,117,160,0,95
168.76,179,102,160,0,95
169.36,175,14,160,0,95
169.96,175,14,160,0,95
170.64,177,16,160,0,95
171.36,178,18,160,0,95
172.12,179,22,160,0,95
172.68,181,26,160,0,95
173.36,184,33,160,0,95
174.24,189,48,160,0,95
175.12,189,48,160,0,95
176.32,197,74,160,0,95
177.48,197,74,160,0,95
178.88,203,93,160,0,95
180.44,208,102,160,0,95
182.16,212,105,160,0,95
184.04,217,109,160,0,95
186.08,222,111,160,0,95
188.32,227,114,160,0,95
190.8,233,118,160,0,95
193.44,238,119,160,0,95
195.84,233,90,160,0,95
197.52,216,17,160,0,95
199.36,221,23,160,0,95
201.4,228,32,160,0,100
203.76,236,43,160,0,100
206.52,248,58,160,0,100
210.04,263,78,160,0,100
214.08,276,99,160,0,100
218.2,280,101,160,0,100
222.28,280,101,160,0,100
226.44,283,104,160,0,100
230.48,282,108,160,0,100
234.48,284,113,160,0,100
238.28,284,116,160,0,100
241.2,262,91,160,0,100
242,217,16,160,0,100
242.76,216,23,160,0,100
243.36,218,32,160,0,100
243.92,222,45,160,0,100
244.56,228,65,160,0,100
245.4,238,93,160,0,100
245.96,236,102,160,0,100
246.08,230,106,160,0,100
245.64,222,110,160,0,100
244.68,214,115,160,0,100
243.52,204,114,160,0,100
241.28,160,16,160,0,100
238.64,155,23,160,0,100
235.52,150,34,160,0,100
231.88,145,51,160,0,100
227.48,138,76,160,0,100
222.48,138,76,160,0,100
216,114,107,160,0,100
208.64,96,112,160,0,100
200.56,78,117,160,0,100
192.36,78,117,160,0,95
183.4,58,118,160,0,95
174.72,67,16,160,0,95
165.44,52,24,160,0,95
155.6,16,49,160,0,85
147.56,16,49,160,0,85
139.24,8,44,160,0,85
130.56,1,43,160,0,85
122.04,9,2,160,0,85
113.16,6,4,160,0,85
103.8,4,6,160,0,85
94.48,3,5,160,0,80
85.44,4,4,160,0,80
76.68,3,9,160,0,80
68.16,1,13,160,0,80
63.2,80.0,160.0,160,0,80
60.0,80.0,160.0,160,0,80
57.0,80.0,160.0,160,0,80
54.2,80.0,160.0,160,0,80
50.24,46,2,160,0,80
46.56,46,2,160,0,70
43.4,59,6,160,0,70
41.52,67,11,160,0,70
40.72,76,17,160,0,70
41.04,86,25,160,0,70
41.56,91,37,160,0,70
43.28,101,57,160,0,70
45.16,114,82,160,0,70
48.84,144,103,160,0,70
56.24,201,107,160,0,80
66.24,266,111,160,0,80
78.4,312,139,160,0,80
81.56,80.0,160.0,160,0,80
84.4,80.0,160.0,160,0,80
87.36,80.0,160.0,160,0,80
90.4,80.0,160.0,160,0,80
93.48,80.0,160.0,160,0,80
96.52,80.0,160.0,160,0,80
