x_media,x,y,referencia,ang_control,angulo
155,155,15,160,0,80
155,155,15,160,0,80
155,155,16,160,0,80
155,155,16,160,0,80
155,155,16,160,0,80
155,155,16,160,0,80
155,155,16,160,0,80
156,156,17,160,0,80
156,156,17,160,0,80
157,157,18,160,0,80
159,159,19,160,0,80
162,162,21,160,0,100
165,165,22,160,0,100
165,165,22,160,0,100
168,168,25,160,0,100
172,172,27,160,0,100
177,177,31,160,0,100
181,181,35,160,0,100
181,181,35,160,0,100
183,183,40,160,0,100
182,182,46,160,0,100
181,181,54,160,0,100
179,179,65,160,0,100
179,179,65,160,0,100
178,178,77,160,0,100
176,176,95,160,0,100
174,174,97,160,0,100
172,172,99,160,0,100
172,172,99,160,0,100
169,169,102,160,0,100
166,166,106,160,0,100
163,163,110,160,0,100
159,159,113,160,0,80
154,154,119,160,0,80
154,154,119,160,0,80
149,149,126,160,0,80
143,143,132,160,0,80
136,136,122,160,0,80
133,133,7,160,0,80
133,133,7,160,0,80
133,133,12,160,0,80
138,138,17,160,0,80
147,147,24,160,0,80
158,158,31,160,0,80
171,171,42,160,0,100
171,171,42,160,0,100
184,184,57,160,0,100
202,202,84,160,0,110
218,218,95,160,0,110
234,234,98,160,0,110
247,247,104,160,0,110
247,247,104,160,0,110
256,256,111,160,0,120
257,257,120,160,0,120
249,249,129,160,0,110
230,230,113,160,0,110
193,193,9,160,0,100
180,180,13,160,0,100
180,180,13,160,0,100
168,168,21,160,0,100
154,154,30,160,0,80
140,140,42,160,0,80
124,124,64,160,0,80
107,107,91,160,0,80
92,92,96,160,0,70
92,92,96,160,0,70
82,82,103,160,0,70
78,78,112,160,0,70
82,82,124,160,0,70
91,91,139,160,0,70
126,126,6,160,0,80
148,148,11,160,0,80
173,173,19,160,0,100
201,201,30,160,0,110
235,235,47,160,0,110
276,276,81,160,0,120
299,299,80,160,0,120
311,311,65,160,0,120
311,311,65,160,0,120
80.0,80.0,160.0,160,0,70
308,308,3,160,0,120
307,307,5,160,0,120
300,300,8,160,0,120
291,291,13,160,0,120
291,291,13,160,0,120
290,290,18,160,0,120
288,288,28,160,0,120
287,287,38,160,0,120
285,285,51,160,0,120
283,283,74,160,0,120
283,283,74,160,0,120
278,278,88,160,0,120
268,268,101,160,0,120
252,252,110,160,0,120
233,233,122,160,0,110
206,206,130,160,0,110
120,120,9,160,0,80
120,120,9,160,0,80
98,98,17,160,0,70
72,72,29,160,0,70
39,39,48,160,0,60
10,10,70,160,0,60
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
5,5,4,160,0,60
5,5,4,160,0,60
18,18,10,160,0,60
36,36,14,160,0,60
59,59,22,160,0,70
74,74,31,160,0,70
94,94,47,160,0,70
94,94,47,160,0,70
110,110,71,160,0,80
136,136,96,160,0,80
178,178,101,160,0,100
222,222,111,160,0,110
286,286,125,160,0,120
286,286,125,160,0,120
315,315,6,160,0,120
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
