x_media,x,y,referencia,ang_control,angulo
150.7,67,24,160,0,85
141.7,70,23,160,0,85
132.6,69,23,160,0,85
123.4,68,24,160,0,85
114.2,68,24,160,0,85
105.1,69,24,160,0,85
96,69,24,160,0,80
86.9,69,24,160,0,80
77.8,69,24,160,0,80
68.7,69,24,160,0,80
68.9,69,24,160,0,80
68.8,69,24,160,0,80
68.8,69,24,160,0,80
68.9,69,24,160,0,80
69,69,24,160,0,80
69,69,24,160,0,80
69,69,24,160,0,80
69.2,71,23,160,0,80
69.2,69,24,160,0,80
69.2,69,24,160,0,80
69.2,69,24,160,0,80
69.2,69,24,160,0,80
69.2,69,24,160,0,80
69.1,68,24,160,0,80
69,68,24,160,0,80
68.8,67,25,160,0,80
68.2,63,19,160,0,80
67.3,62,18,160,0,80
66.6,62,17,160,0,80
65.9,62,17,160,0,80
65.2,62,16,160,0,80
64.4,61,14,160,0,80
63.6,61,13,160,0,80
62.8,60,13,160,0,80
62,60,13,160,0,80
61.3,60,14,160,0,80
60.9,59,14,160,0,80
60.6,59,14,160,0,80
60.3,59,14,160,0,80
60,59,14,160,0,80
59.6,58,14,160,0,80
59.3,58,13,160,0,80
59,58,13,160,0,80
58.7,57,14,160,0,80
58.4,57,14,160,0,80
58,56,14,160,0,80
57.7,56,15,160,0,80
57.4,56,15,160,0,80
57.2,57,15,160,0,80
57,57,15,160,0,80
57,58,15,160,0,80
56.9,57,15,160,0,80
56.9,58,15,160,0,80
57.1,59,15,160,0,80
57.3,59,15,160,0,80
57.7,60,17,160,0,80
58.1,60,17,160,0,80
58.7,62,16,160,0,80
59.2,62,16,160,0,80
59.7,62,18,160,0,80
60,61,18,160,0,80
60.2,59,19,160,0,80
60.1,57,21,160,0,80
59.9,57,23,160,0,80
59.7,57,23,160,0,80
59.4,57,24,160,0,80
59,56,25,160,0,80
58.3,55,27,160,0,80
57.7,56,27,160,0,80
57.1,56,27,160,0,80
56.6,56,28,160,0,80
56.1,54,28,160,0,80
56.1,57,28,160,0,80
56.5,61,28,160,0,80
57.2,64,28,160,0,80
58.4,69,29,160,0,80
60.5,77,30,160,0,80
63.7,87,31,160,0,80
