x_media,x,y,referencia,ang_control,angulo
158.94117647058823,142,69,160,0,85
157.88235294117646,142,69,160,0,85
156.8235294117647,142,70,160,0,85
155.76470588235293,142,71,160,0,85
154.7058823529412,142,72,160,0,85
153.64705882352942,142,73,160,0,85
152.58823529411765,142,73,160,0,85
151.58823529411765,143,76,160,0,85
150.64705882352942,144,78,160,0,85
149.7058823529412,144,83,160,0,85
148.8235294117647,145,88,160,0,85
148.05882352941177,147,94,160,0,85
147.35294117647058,148,100,160,0,85
146.8235294117647,151,101,160,0,85
146.2941176470588,151,101,160,0,85
145.88235294117646,153,102,160,0,85
145.64705882352942,156,103,160,0,85
146.64705882352942,159,105,160,0,85
147.88235294117646,163,107,160,0,85
149.35294117647058,167,109,160,0,85
150.8235294117647,167,109,160,0,85
152.58823529411765,172,110,160,0,85
154.64705882352942,177,112,160,0,85
157.05882352941177,183,114,160,0,85
159.41176470588235,183,114,160,0,85
162.05882352941177,189,116,160,0,95
165.1764705882353,197,118,160,0,95
168.7058823529412,205,120,160,0,95
172.64705882352942,214,118,160,0,95
176.58823529411765,215,77,160,0,95
180.35294117647058,215,77,160,0,95
184.11764705882354,215,17,160,0,95
188.11764705882354,221,21,160,0,95
192.1764705882353,225,25,160,0,95
196.2941176470588,229,32,160,0,95
200.1764705882353,229,32,160,0,100
204.05882352941177,233,41,160,0,100
208.2941176470588,239,49,160,0,100
212.64705882352942,246,61,160,0,100
217.23529411764707,255,76,160,0,100
221.47058823529412,255,76,160,0,100
226.35294117647058,266,97,160,0,100
231.05882352941177,269,105,160,0,100
235.35294117647058,270,107,160,0,100
239.1764705882353,270,110,160,0,100
242.47058823529412,270,110,160,0,100
245.76470588235293,271,113,160,0,100
249,270,115,160,0,100
252.35294117647058,272,120,160,0,110
255.35294117647058,272,120,160,0,110
257.94117647058823,269,121,160,0,110
258.94117647058823,246,81,160,0,110
257.70588235294116,208,15,160,0,110
256.11764705882354,206,20,160,0,110
253.88235294117646,201,26,160,0,110
251.23529411764707,201,26,160,0,110
247.52941176470588,192,36,160,0,100
243.1764705882353,181,46,160,0,100
237.47058823529412,169,62,160,0,100
231.58823529411765,169,62,160,0,100
224.88235294117646,156,86,160,0,100
217.11764705882354,138,103,160,0,100
208.11764705882354,117,106,160,0,100
197.94117647058823,98,110,160,0,95
187.8235294117647,98,110,160,0,95
176.41176470588235,78,114,160,0,95
163.76470588235293,57,117,160,0,95
150.58823529411765,45,88,160,0,85
138.7058823529412,44,19,160,0,85
128.11764705882354,28,27,160,0,85
117.6470588235294,28,27,160,0,85
106.76470588235294,16,37,160,0,85
95.47058823529412,9,38,160,0,80
84.47058823529412,5,34,160,0,80
74.11764705882354,5,34,160,0,80
64.29411764705883,2,37,160,0,80
59.05882352941177,80.0,160.0,160,0,80
54.588235294117645,80.0,160.0,160,0,80
47.64705882352941,20,3,160,0,70
41.94117647058823,20,3,160,0,70
37.529411764705884,23,6,160,0,70
33.470588235294116,29,9,160,0,70
31.0,36,14,160,0,70
30.176470588235293,43,18,160,0,70
30.058823529411764,43,18,160,0,70
30.705882352941178,55,24,160,0,70
33.294117647058826,72,33,160,0,70
36.76470588235294,87,45,160,0,70
41.94117647058823,104,63,160,0,70
47.529411764705884,104,63,160,0,70
54.35294117647059,121,90,160,0,80
63.05882352941177,153,101,160,0,80
74.47058823529412,196,108,160,0,80
81.29411764705883,196,108,160,0,80
94.17647058823529,299,112,160,0,80
97.70588235294117,80.0,160.0,160,0,80
101.23529411764706,80.0,160.0,160,0,85
104.58823529411765,80.0,160.0,160,0,85
107.58823529411765,80.0,160.0,160,0,85
110.17647058823529,80.0,160.0,160,0,85
112.3529411764706,80.0,160.0,160,0,85
114.52941176470588,80.0,160.0,160,0,85
116.0,80.0,160.0,160,0,85
116.47058823529412,80.0,160.0,160,0,85
116.05882352941177,80.0,160.0,160,0,85
114.6470588235294,80.0,160.0,160,0,85
113.23529411764706,80.0,160.0,160,0,85
110.82352941176471,80.0,160.0,160,0,85
106.52941176470588,80.0,160.0,160,0,85
99.70588235294117,80.0,160.0,160,0,80
92.88235294117646,80.0,160.0,160,0,80
89.05882352941177,234,1,160,0,80
99.3529411764706,255,4,160,0,80
