x_media,x,y,referencia,ang_control,angulo
154.1,101,106,160,0,76.5
148.1,100,105,160,0,76.5
142.1,100,106,160,0,76.5
136.1,100,107,160,0,76.5
130,99,107,160,0,76.5
123.9,99,107,160,0,76.5
117.8,99,111,160,0,76.5
111.9,101,112,160,0,76.5
106.2,103,114,160,0,76.5
100.6,104,116,160,0,76.5
101.1,106,117,160,0,76.5
101.7,106,117,160,0,76.5
102.3,106,119,160,0,76.5
103.1,108,120,160,0,76.5
103.9,107,119,160,0,76.5
104.2,102,112,160,0,76.5
106.3,120,97,160,0,76.5
108.2,120,97,160,0,76.5
118.4,205,116,160,0,76.5
132.1,241,124,160,0,76.5
146.4,249,111,160,0,76.5
158.8,230,12,160,0,76.5
171.2,230,12,160,0,95
184.7,243,15,160,0,95
199.8,258,19,160,0,95
217,274,25,160,0,100
234.5,295,33,160,0,100
252,295,33,160,0,110
262.3,308,32,160,0,110
269.6,314,26,160,0,110
252.7,80.0,160.0,160,0,110
237.7,80.0,160.0,160,0,100
222.7,80.0,160.0,160,0,100
206.4,80.0,160.0,160,0,100
188.6,80.0,160.0,160,0,95
169.2,80.0,160.0,160,0,95
147.7,80.0,160.0,160,0,76.5
126.2,80.0,160.0,160,0,76.5
124.7,293,1,160,0,76.5
122.6,293,2,160,0,76.5
144.4,298,5,160,0,76.5
167.1,307,7,160,0,95
190.4,313,5,160,0,95
190.4,80.0,160.0,160,0,95
190.4,80.0,160.0,160,0,95
190.4,80.0,160.0,160,0,95
190.4,80.0,160.0,160,0,95
190.4,80.0,160.0,160,0,95
169.1,80.0,160.0,160,0,95
147.8,80.0,160.0,160,0,76.5
126.0,80.0,160.0,160,0,76.5
103.3,80.0,160.0,160,0,76.5
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
