tempo,x,referencia,ang_control,angulo
1541262396.238611,155.8,160,0,82.03038960567866
1541262396.2663105,151.6,160,0,74.35775354279126
1541262396.3013387,147.6,160,0,67.54306100005788
1541262396.3337116,143.6,160,0,62.11971556194723
1541262396.3654737,139.8,160,0,57.73783070387411
1541262396.3943527,140.2,160,0,57.43323518809563
1541262396.4232752,141,160,0,57.652556500557964
1541262396.453329,142.4,160,0,61.189206257026946
1541262396.4839604,145,160,0,66.80140948635182
1541262396.508949,149.2,160,0,77.05881413401214
1541262396.538878,155.4,160,0,87.36625076646261
1541262396.5746543,161.2,160,0,90.6875163546391
1541262396.6057575,171,160,0,94.19418278839086
1541262396.6361496,182,160,0,98.45502767717744
1541262396.6669831,193.8,160,0,102.94906261386828
1541262396.6969075,205.8,160,0,107.64355473311456
1541262396.728786,219.4,160,0,112.84455312766492
1541262396.758584,228.2,160,0,115.81249426872499
1541262396.7926798,235.8,160,0,119.313403852497
1541262396.8272371,240.8,160,0,121.86254084041886
1541262396.8597586,243.2,160,0,123.64773596403825
1541262396.8901153,243,160,0,124.67031791098054
1541262396.9223032,241.2,160,0,125.94211187138234
1541262396.9526615,236,160,0,126.42228347498346
1541262396.9774246,228.2,160,0,126.5497010238924
1541262397.0033193,220.8,160,0,123.45950225339067
1541262397.0294511,211.2,160,0,124.32005070853853
1541262397.058473,199.6,160,0,121.35105874136826
1541262397.0873864,186.2,160,0,112.90797843943047
1541262397.1155114,170.8,160,0,100.37319809695907
1541262397.1417332,150.4,160,0,80.27242144859841
1541262397.167926,127.2,160,0,57.253419035311545
1541262397.1918664,100.8,160,0,36.621327493784435
1541262397.21928,78.4,160,0,28.3342424831246
1541262397.2474844,55.8,160,0,20.036068250318934
1541262397.274795,36.8,160,0,51.70031132496637
1541262397.3004797,22.2,160,0,48.90662828795553
1541262397.323422,30.0,160,0,0.0
1541262397.3461466,37.8,160,0,0.0
1541262397.3724282,50.4,160,0,0.0
1541262397.3991184,64.4,160,0,0.0
1541262397.4249282,65.2,160,0,57.18211293268838
1541262397.448471,52.6,160,0,51.28808574034639
1541262397.4754138,44.4,160,0,47.69040295034232
