x_media,x,y,referencia,ang_control,angulo
154,154,20,160,0,85
154,154,20,160,0,85
154,154,20,160,0,85
155,155,21,160,0,85
155,155,21,160,0,85
155,155,21,160,0,85
155,155,22,160,0,85
155,155,22,160,0,85
157,157,24,160,0,85
157,157,24,160,0,85
158,158,25,160,0,85
160,160,27,160,0,85
161,161,29,160,0,95
161,161,29,160,0,95
163,163,31,160,0,95
166,166,34,160,0,95
169,169,38,160,0,95
173,173,43,160,0,95
176,176,49,160,0,95
176,176,49,160,0,95
179,179,56,160,0,95
180,180,66,160,0,95
182,182,79,160,0,95
183,183,93,160,0,95
183,183,93,160,0,95
184,184,95,160,0,95
185,185,96,160,0,95
186,186,99,160,0,95
188,188,103,160,0,95
188,188,103,160,0,95
189,189,107,160,0,95
191,191,111,160,0,95
193,193,117,160,0,95
195,195,125,160,0,95
195,195,125,160,0,95
198,198,132,160,0,95
198,198,121,160,0,95
183,183,7,160,0,95
183,183,7,160,0,95
184,184,11,160,0,95
185,185,17,160,0,95
187,187,23,160,0,95
188,188,31,160,0,95
190,190,41,160,0,95
193,193,56,160,0,95
193,193,56,160,0,95
199,199,80,160,0,95
203,203,97,160,0,100
204,204,100,160,0,100
205,205,104,160,0,100
207,207,110,160,0,100
209,209,118,160,0,100
211,211,129,160,0,100
208,208,128,160,0,100
187,187,7,160,0,95
185,185,12,160,0,95
183,183,20,160,0,95
181,181,29,160,0,95
179,179,42,160,0,95
178,178,62,160,0,95
179,179,96,160,0,95
179,179,98,160,0,95
178,178,101,160,0,95
178,178,110,160,0,95
177,177,121,160,0,95
175,175,135,160,0,95
165,165,7,160,0,95
165,165,13,160,0,95
164,164,20,160,0,95
162,162,33,160,0,95
162,162,33,160,0,95
161,161,51,160,0,95
161,161,85,160,0,95
159,159,98,160,0,85
156,156,103,160,0,85
152,152,111,160,0,85
148,148,123,160,0,85
144,144,135,160,0,85
143,143,9,160,0,85
143,143,16,160,0,85
148,148,28,160,0,85
148,148,28,160,0,85
168,168,77,160,0,95
180,180,96,160,0,95
180,180,96,160,0,95
193,193,101,160,0,95
210,210,111,160,0,100
230,230,125,160,0,100
241,241,115,160,0,100
221,221,11,160,0,100
227,227,21,160,0,100
234,234,37,160,0,100
243,243,62,160,0,100
254,254,96,160,0,110
255,255,101,160,0,110
255,255,101,160,0,110
255,255,108,160,0,110
258,258,121,160,0,110
259,259,141,160,0,110
174,174,7,160,0,95
158,158,16,160,0,85
138,138,29,160,0,85
114,114,51,160,0,85
