x_media,x,y,referencia,ang_control,angulo
158.28,117,93,160,0,85
156.56,117,93,160,0,85
154.84,117,93,160,0,85
153.12,117,93,160,0,85
151.4,117,93,160,0,85
149.68,117,93,160,0,85
147.96,117,93,160,0,85
146.24,117,93,160,0,85
144.52,117,93,160,0,85
142.8,117,93,160,0,85
141.08,117,93,160,0,85
139.36,117,94,160,0,85
137.64,117,94,160,0,85
135.92,117,94,160,0,85
134.2,117,94,160,0,85
132.48,117,94,160,0,85
130.76,117,94,160,0,85
129.08,118,94,160,0,85
127.4,118,94,160,0,85
125.72,118,94,160,0,85
124.04,118,94,160,0,85
122.36,118,94,160,0,85
120.68,118,94,160,0,85
119,118,94,160,0,85
117.32,118,94,160,0,85
117.36,118,94,160,0,85
117.4,118,94,160,0,85
117.44,118,94,160,0,85
117.48,118,94,160,0,85
117.52,118,94,160,0,85
117.56,118,94,160,0,85
117.6,118,94,160,0,85
117.6,117,94,160,0,85
117.64,118,94,160,0,85
117.68,118,94,160,0,85
117.72,118,94,160,0,85
117.76,118,94,160,0,85
117.8,118,94,160,0,85
117.84,118,94,160,0,85
117.84,117,94,160,0,85
117.84,117,94,160,0,85
117.84,117,94,160,0,85
117.8,117,94,160,0,85
117.76,117,93,160,0,85
117.72,117,94,160,0,85
117.68,117,94,160,0,85
117.64,117,94,160,0,85
117.6,117,94,160,0,85
117.56,117,94,160,0,85
117.56,118,94,160,0,85
117.56,118,94,160,0,85
117.56,118,94,160,0,85
117.56,118,94,160,0,85
117.56,118,94,160,0,85
117.56,118,94,160,0,85
117.56,118,94,160,0,85
117.56,118,94,160,0,85
117.6,118,94,160,0,85
117.6,118,94,160,0,85
117.6,118,94,160,0,85
117.6,118,94,160,0,85
117.6,118,94,160,0,85
117.6,118,94,160,0,85
117.6,118,94,160,0,85
117.64,118,94,160,0,85
117.68,118,95,160,0,85
117.72,118,95,160,0,85
117.76,118,94,160,0,85
117.8,118,94,160,0,85
117.84,118,94,160,0,85
117.88,118,94,160,0,85
117.96,119,93,160,0,85
118.04,119,95,160,0,85
118.12,119,95,160,0,85
118.12,118,96,160,0,85
118.16,119,97,160,0,85
118.2,119,98,160,0,85
118.28,120,99,160,0,85
118.32,119,98,160,0,85
118.36,119,98,160,0,85
118.32,117,98,160,0,85
118.28,117,98,160,0,85
118.28,118,99,160,0,85
118.24,117,98,160,0,85
118.04,113,97,160,0,85
117.6,107,95,160,0,85
116.88,100,94,160,0,85
115.8,91,93,160,0,85
114.4,83,92,160,0,85
113,83,92,160,0,85
111.32,76,93,160,0,85
109.6,75,93,160,0,85
107.96,77,92,160,0,85
106.36,78,91,160,0,85
104.76,78,91,160,0,85
103.24,80,90,160,0,85
101.72,81,90,160,0,85
100.12,79,89,160,0,85
98.48,78,83,160,0,80
97.04,82,79,160,0,80
95.56,82,79,160,0,80
94.2,85,80,160,0,80
93,90,82,160,0,80
92.16,98,87,160,0,80
91.76,109,90,160,0,80
91.8,118,91,160,0,80
92.08,124,91,160,0,80
92.32,124,91,160,0,80
92.72,127,91,160,0,80
93.36,129,90,160,0,80
94.44,134,87,160,0,80
95.84,135,83,160,0,80
97.6,135,83,160,0,80
99.68,135,80,160,0,80
101.76,135,78,160,0,85
104.24,138,77,160,0,85
107.04,145,77,160,0,85
110.16,155,77,160,0,85
113.64,165,77,160,0,85
117.28,169,77,160,0,85
120.96,172,76,160,0,85
124.68,174,77,160,0,85
128.56,176,78,160,0,85
132.56,178,78,160,0,85
136.48,180,77,160,0,85
140.44,181,76,160,0,85
144.36,183,75,160,0,85
148.24,187,75,160,0,85
151.92,190,74,160,0,85
155.28,193,75,160,0,85
158.44,197,74,160,0,85
161.56,202,73,160,0,95
164.92,208,73,160,0,95
168.4,214,74,160,0,95
172.08,221,75,160,0,95
175.76,226,75,160,0,95
179.56,230,76,160,0,95
183.68,238,77,160,0,95
188.08,245,78,160,0,95
192.72,251,78,160,0,95
197.48,257,77,160,0,95
202.2,263,75,160,0,100
206.68,267,71,160,0,100
210.88,270,67,160,0,100
215.04,273,61,160,0,100
219.12,274,54,160,0,100
223.12,274,47,160,0,100
227.04,274,41,160,0,100
230.88,274,36,160,0,100
234.6,273,32,160,0,100
238.24,272,29,160,0,100
241.76,271,27,160,0,100
245.08,270,25,160,0,100
248.28,270,25,160,0,100
251.36,270,26,160,0,110
254.28,270,27,160,0,110
257,270,27,160,0,110
259.48,270,27,160,0,110
261.68,269,27,160,0,110
263.6,269,27,160,0,110
265.32,269,27,160,0,110
266.88,269,27,160,0,110
268.08,268,27,160,0,110
269,268,27,160,0,110
269.68,268,28,160,0,110
270.12,268,28,160,0,110
270.32,268,28,160,0,110
270.32,267,27,160,0,110
270.2,267,28,160,0,110
270.04,269,30,160,0,110
269.92,271,34,160,0,110
269.92,274,43,160,0,110
270,276,57,160,0,110
269.92,272,65,160,0,110
269.52,263,71,160,0,110
268.64,250,74,160,0,110
266.96,229,73,160,0,110
264.48,208,70,160,0,110
261.28,190,68,160,0,110
257.44,174,66,160,0,110
253.04,160,64,160,0,110
248.12,147,62,160,0,100
242.72,135,60,160,0,100
236.96,125,58,160,0,100
231.2,125,58,160,0,100
224.72,107,56,160,0,100
217.92,99,56,160,0,100
211.16,99,56,160,0,100
204.04,90,55,160,0,100
196.6,82,52,160,0,95
188.88,75,50,160,0,95
180.96,70,48,160,0,95
172.88,65,46,160,0,95
164.64,61,44,160,0,95
156.16,57,42,160,0,85
147.36,51,37,160,0,85
138.36,49,36,160,0,85
129.2,47,35,160,0,85
120.16,46,34,160,0,85
111.44,45,33,160,0,85
103.24,45,33,160,0,85
95.84,44,32,160,0,80
89.28,44,31,160,0,80
83.44,44,32,160,0,80
78.24,44,32,160,0,80
