x_media,x,y,referencia,ang_control,angulo
161.1,171,113,160,0,95
162.2,171,113,160,0,95
163.3,171,113,160,0,95
164.4,171,113,160,0,95
165.5,171,113,160,0,95
166.6,171,113,160,0,95
167.7,171,114,160,0,95
168.8,171,114,160,0,95
169.9,171,114,160,0,95
170.9,170,115,160,0,95
170.8,170,116,160,0,95
170.6,169,117,160,0,95
170.3,168,118,160,0,95
169.8,166,119,160,0,95
169.3,166,119,160,0,95
168.6,164,120,160,0,95
167.7,162,120,160,0,95
166.5,159,120,160,0,95
165,156,117,160,0,95
163.6,156,117,160,0,95
161.9,153,108,160,0,95
159.4,144,48,160,0,76.5
156.1,135,16,160,0,76.5
153,135,18,160,0,76.5
149.8,134,22,160,0,76.5
146.8,134,22,160,0,76.5
143.9,133,26,160,0,76.5
141.4,134,32,160,0,76.5
139.5,137,38,160,0,76.5
137.6,137,38,160,0,76.5
136.8,145,45,160,0,76.5
138,156,54,160,0,76.5
141.4,169,64,160,0,76.5
146.3,184,79,160,0,76.5
151.3,184,79,160,0,76.5
158.1,202,99,160,0,76.5
166.8,220,104,160,0,95
177.3,239,107,160,0,95
189.7,261,110,160,0,95
204.1,281,111,160,0,100
217.7,281,111,160,0,100
231.8,297,105,160,0,100
244.4,295,59,160,0,100
255.4,294,10,160,0,110
267.5,305,13,160,0,110
277.8,305,13,160,0,110
286.6,308,14,160,0,110
293.7,310,13,160,0,110
298.7,311,15,160,0,110
301.8,312,18,160,0,110
304.9,312,18,160,0,110
306.3,311,25,160,0,110
307.8,310,29,160,0,110
309.2,308,37,160,0,110
309.2,305,47,160,0,110
309.2,305,47,160,0,110
308.8,304,54,160,0,110
308,302,65,160,0,110
307,301,77,160,0,110
305.3,295,88,160,0,110
303.6,295,88,160,0,110
301.7,292,102,160,0,110
299,283,110,160,0,110
293.8,256,96,160,0,110
281.3,180,16,160,0,110
268.8,180,16,160,0,110
255.2,168,22,160,0,110
240.6,156,33,160,0,100
224.7,142,46,160,0,100
207.7,125,64,160,0,100
190.7,125,64,160,0,95
172,105,94,160,0,95
151,73,105,160,0,76.5
129,36,111,160,0,76.5
112.4,14,109,160,0,76.5
95.8,14,109,160,0,72.0
87.0,80.0,160.0,160,0,72.0
79.4,80.0,160.0,160,0,72.0
73.2,80.0,160.0,160,0,72.0
68.7,80.0,160.0,160,0,72.0
64.2,80.0,160.0,160,0,72.0
61.7,80.0,160.0,160,0,72.0
62.4,80.0,160.0,160,0,72.0
66.8,80.0,160.0,160,0,72.0
65.6,2,20,160,0,72.0
65.0,8,30,160,0,72.0
58.3,13,45,160,0,72.0
52.2,19,58,160,0,72.0
46.7,25,79,160,0,63.0
41.2,25,79,160,0,63.0
36.6,34,101,160,0,63.0
33.5,49,112,160,0,63.0
33.3,78,117,160,0,63.0
36.7,114,116,160,0,63.0
47.9,114,116,160,0,63.0
67.1,200,15,160,0,72.0
88.8,230,23,160,0,72.0
113.6,267,39,160,0,76.5
137.8,267,39,160,0,76.5
165.8,305,57,160,0,95
170.4,80.0,160.0,160,0,95
173.5,80.0,160.0,160,0,95
173.7,80.0,160.0,160,0,95
170.3,80.0,160.0,160,0,95
166.9,80.0,160.0,160,0,95
154.9,80.0,160.0,160,0,76.5
139.9,80.0,160.0,160,0,76.5
121.2,80.0,160.0,160,0,76.5
102.5,80.0,160.0,160,0,76.5
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
80.0,80.0,160.0,160,0,72.0
103.3,313,45,160,0,76.5
125.3,300,34,160,0,76.5
