x_media,x,y,referencia,ang_control,angulo
158.6,153,102,160,0,88.61726692890232
157.2,153,102,160,0,87.23614262908744
155.8,153,102,160,0,85.858224669508
154.4,153,102,160,0,84.48508840875496
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153,153,102,160,0,83.11827636936306
153.2,154,102,160,0,83.31309067381764
153.4,154,102,160,0,83.50806042252934
153.6,154,102,160,0,83.70318128101559
153.8,154,103,160,0,83.79223277833799
154.2,155,103,160,0,84.1899005722807
154.4,155,103,160,0,84.38894772745594
154.6,155,103,160,0,84.58813084768296
154.8,155,104,160,0,84.69489039378963
155.2,156,105,160,0,85.01227848493467
155.4,156,105,160,0,85.21911612516806
155.8,157,106,160,0,85.55261514990953
156.4,158,106,160,0,86.18592516570966
157,158,106,160,0,86.82016988013577
157.4,158,107,160,0,87.19151512265401
158,159,107,160,0,87.83892051177364
158.6,160,108,160,0,88.45779387257151
159,160,108,160,0,88.89829388479363
159.6,161,109,160,0,89.55063055129203
160.4,162,110,160,0,90.45835645800044
161,162,110,160,0,91.1457628381751
161.4,162,110,160,0,91.60386277115492
162,163,111,160,0,92.33730585912382
162.4,163,112,160,0,92.86240522611175
162.8,164,113,160,0,93.40933602049014
163.2,164,114,160,0,93.9793824526782
163.8,165,116,160,0,94.936024110084
164.2,165,117,160,0,95.57863625539336
164.6,165,117,160,0,96.10609384728426
165,166,118,160,0,96.78897457443878
165.4,166,119,160,0,97.50308739104962
165.6,166,121,160,0,98.17123355994974
165.8,166,122,160,0,98.67816888524077
166,166,123,160,0,99.21102654081668
166,166,123,160,0,99.21102654081668
166,166,124,160,0,99.46232220802561
166,166,126,160,0,100.00797980144134
166,166,126,160,0,100.00797980144134
165.8,165,126,160,0,99.68079885938509
165.6,165,126,160,0,99.35297925009324
165.4,165,126,160,0,99.02454062622273
165.2,165,126,160,0,98.69550287742476
165,165,127,160,0,98.6156481841641
165,165,126,160,0,98.36588612403258
164.8,164,127,160,0,98.27589282707521
164.6,164,127,160,0,97.9355503700888
164.4,164,127,160,0,97.59464336859145
164.2,164,127,160,0,97.25319461272531
164,164,127,160,0,96.91122711902469
163.8,163,127,160,0,96.56876412182115
163.6,163,127,160,0,96.22582906442575
163.4,163,126,160,0,95.71059313749964
163,162,125,160,0,94.89909245378776
162.6,162,122,160,0,93.91413721861242
162.4,162,117,160,0,93.19458946511044
162,161,109,160,0,92.24574256589507
161.6,161,109,160,0,91.79692527269597
161.4,161,95,160,0,91.23387216700007
161,160,66,160,0,90.60950657667519
160.6,160,7,160,0,90.2246881796245
160.4,160,8,160,0,90.15077801908397
160.2,160,8,160,0,90.07538914006274
160,160,9,160,0,90.0
160,160,9,160,0,90.0
160,160,9,160,0,90.0
160,160,10,160,0,90.0
160,160,11,160,0,90.0
160.2,161,12,160,0,90.07742668194084
160.4,161,12,160,0,90.1548530810975
160.6,161,12,160,0,90.23227891469202
160.8,161,13,160,0,90.31181068775281
161.2,162,14,160,0,90.4709136111949
161.4,162,15,160,0,90.55318344052122
161.6,162,16,160,0,90.63659357596347
161.8,162,17,160,0,90.72116752988607
162,162,17,160,0,90.80128733010702
162.2,163,18,160,0,90.8876100773959
162.4,163,19,160,0,90.97515314309257
162.6,163,20,160,0,91.06394217075822
162.8,163,20,160,0,91.1457628381751
163,163,20,160,0,91.22757883213454
163,163,21,160,0,91.23640760285615
163,163,22,160,0,91.24536426676835
163.2,164,24,160,0,91.34788728019859
163.6,165,25,160,0,91.52752544221292
164,165,26,160,0,91.70981404414152
164.4,165,26,160,0,91.88067823818663
164.8,165,27,160,0,92.06692052695554
165.2,166,28,160,0,92.25593996365991
165.4,166,29,160,0,92.36047438981133
165.8,167,30,160,0,92.55457914761664
166.2,167,30,160,0,92.73049897573587
166.6,167,32,160,0,92.95169959706978
166.8,167,33,160,0,93.06487886718787
167.2,168,34,160,0,93.27048792318355
167.4,168,35,160,0,93.3879559839419
167.6,168,35,160,0,93.47930037215805
167.8,168,37,160,0,93.62853215543642
168,168,38,160,0,93.75172907052598
168.2,169,38,160,0,93.84524433372506
168.4,169,39,160,0,93.97118692134232
168.6,169,40,160,0,94.09918915435397
168.8,169,40,160,0,94.19418278839086
169.2,170,41,160,0,94.42079600273001
169.4,170,42,160,0,94.55462195467781
169.6,170,43,160,0,94.69068445573484
170,171,45,160,0,94.9697407281103
170.4,171,46,160,0,95.21255474690015
170.6,171,46,160,0,95.31222806702095
171,172,48,160,0,95.60927444644581
171.4,172,51,160,0,95.97069567028264
171.6,172,53,160,0,96.18734065486348
171.8,172,57,160,0,96.53548976931243
172,172,57,160,0,96.64527821027443
172.2,173,61,160,0,97.02527249129633
172.4,173,64,160,0,97.35995415883197
172.6,173,69,160,0,97.88313931672973
172.8,173,74,160,0,98.46559755398162
173,173,79,160,0,99.11786275379579
173,173,79,160,0,99.11786275379579
173,173,85,160,0,99.83356396420712
173.2,174,93,160,0,101.14538444992225
173.2,173,94,160,0,101.3099324740202
173,172,96,160,0,101.48199135474809
172.8,172,96,160,0,101.30993247402021
172.4,171,97,160,0,101.1349306373061
171.6,170,98,160,0,100.59733514502356
170.6,168,99,160,0,99.85787892604445
