x_media,x,y,referencia,ang_control,angulo
154,130,119,160,0.2484375,89.7515625
148,130,119,160,0.49375,89.50625
142.2,131,119,160,0.7279149305555568,89.27208506944444
136.4,131,119,160,0.9591597222222218,89.04084027777778
130.4,130,119,160,1.195305555555555,88.80469444444445
130.4,130,119,160,1.195305555555555,88.80469444444445
130.4,130,119,160,1.195305555555555,88.80469444444445
130.2,130,119,160,1.20312326388889,88.79687673611112
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130,130,119,160,1.2109375,88.7890625
130.2,131,120,160,1.20312326388889,88.79687673611112
130.4,131,120,160,1.195305555555555,88.80469444444445
130.6,131,120,160,1.1874843750000006,88.812515625
130.8,131,121,160,1.1796597222222212,88.82034027777777
131,131,122,160,1.1718315972222224,88.82816840277778
131,131,124,160,1.1718315972222224,88.82816840277778
131.2,132,124,160,1.164000000000001,88.836
131.4,132,124,160,1.1561649305555548,88.84383506944445
131.6,132,124,160,1.1483263888888897,88.85167361111111
131.8,132,124,160,1.1404843749999987,88.859515625
132.4,134,125,160,1.1169374999999995,88.8830625
132.8,134,125,160,1.101222222222221,88.89877777777778
133.2,134,124,160,1.0854930555555566,88.91450694444444
133.4,133,122,160,1.0776232638888883,88.92237673611112
133,130,115,160,1.0933593750000001,88.906640625
131,124,99,160,1.1718315972222224,88.82816840277778
125,104,39,160,1.4051649305555558,88.59483506944444
119,104,39,160,1.635373263888889,88.3646267361111
111.6,96,22,160,1.914993055555556,88.08500694444444
105.6,100,23,160,2.1382222222222227,87.86177777777777
101.6,104,23,160,2.2853055555555564,87.71469444444445
102.6,109,24,160,2.248664930555556,87.75133506944445
104.8,115,24,160,2.1677499999999985,87.83225
108.6,115,24,160,2.0269982638888893,87.97300173611112
112.8,121,24,160,1.8699722222222213,88.13002777777778
118,130,23,160,1.6734375,88.3265625
123.8,138,23,160,1.451456597222221,88.54854340277778
128.4,138,23,160,1.2733263888888882,88.72667361111111
134.6,146,22,160,1.030331597222223,88.96966840277777
141,153,20,160,0.7759982638888889,89.2240017361111
145.6,153,22,160,0.5910000000000005,89.409
147.8,149,22,160,0.5018732638888876,89.49812673611112
150,149,22,160,0.41232638888888884,89.58767361111111
150.6,149,24,160,0.3878315972222228,89.61216840277778
149.6,148,26,160,0.42863888888888957,89.57136111111112
148.4,147,28,160,0.47749305555555493,89.52250694444444
147.6,145,30,160,0.5099930555555562,89.49000694444445
146.8,145,30,160,0.5424374999999987,89.4575625
146,145,32,160,0.5748263888888889,89.4251736111111
145.2,144,35,160,0.6071597222222235,89.39284027777778
144.6,144,37,160,0.6313732638888896,89.36862673611111
144.2,143,40,160,0.6474982638888901,89.35250173611111
143.6,142,42,160,0.6716597222222229,89.32834027777778
142.6,140,45,160,0.7118593750000006,89.288140625
141.2,137,48,160,0.7679930555555567,89.23200694444445
140,138,53,160,0.8159722222222223,89.18402777777777
139.2,139,59,160,0.8478888888888901,89.15211111111111
138.6,139,59,160,0.871789930555556,89.12821006944445
139.2,143,70,160,0.8478888888888901,89.15211111111111
140.4,143,70,160,0.7999930555555549,89.20000694444444
143.2,152,86,160,0.6877500000000014,89.31224999999999
145.8,152,86,160,0.5829149305555544,89.41708506944444
148.4,152,86,160,0.47749305555555493,89.52250694444444
151.2,157,88,160,0.36330555555555677,89.63669444444444
154.6,160,90,160,0.2237343750000006,89.776265625
