x_media,x,y,referencia,ang_control,angulo
142,142,102,160,0,80
142,142,102,160,0,80
142,142,102,160,0,80
142,142,103,160,0,80
142,142,103,160,0,80
142,142,103,160,0,80
143,143,103,160,0,80
145,145,104,160,0,80
145,145,104,160,0,80
146,146,104,160,0,80
149,149,105,160,0,80
152,152,107,160,0,80
155,155,108,160,0,80
159,159,110,160,0,80
159,159,110,160,0,80
164,164,113,160,0,100
168,168,115,160,0,100
174,174,119,160,0,100
182,182,122,160,0,100
190,190,128,160,0,100
190,190,128,160,0,100
198,198,134,160,0,100
202,202,135,160,0,110
201,201,121,160,0,110
188,188,6,160,0,100
186,186,9,160,0,100
186,186,9,160,0,100
185,185,13,160,0,100
182,182,17,160,0,100
178,178,22,160,0,100
174,174,26,160,0,100
170,170,33,160,0,100
170,170,33,160,0,100
167,167,42,160,0,100
163,163,53,160,0,100
159,159,71,160,0,80
155,155,95,160,0,80
148,148,97,160,0,80
148,148,97,160,0,80
141,141,101,160,0,80
134,134,106,160,0,80
129,129,110,160,0,80
129,129,118,160,0,80
137,137,128,160,0,80
137,137,128,160,0,80
147,147,135,160,0,80
134,134,5,160,0,80
145,145,9,160,0,80
155,155,16,160,0,80
167,167,23,160,0,100
167,167,23,160,0,100
180,180,32,160,0,100
194,194,46,160,0,100
214,214,69,160,0,110
236,236,97,160,0,110
236,236,97,160,0,110
248,248,99,160,0,110
254,254,105,160,0,120
255,255,112,160,0,120
250,250,120,160,0,110
239,239,132,160,0,110
239,239,132,160,0,110
222,222,129,160,0,110
173,173,7,160,0,100
159,159,13,160,0,80
144,144,22,160,0,80
127,127,34,160,0,80
127,127,34,160,0,80
106,106,51,160,0,80
83,83,86,160,0,70
63,63,98,160,0,70
63,63,98,160,0,70
50,50,103,160,0,60
50,50,111,160,0,60
53,53,120,160,0,70
67,67,134,160,0,70
67,67,134,160,0,70
107,107,45,160,0,80
132,132,9,160,0,80
155,155,16,160,0,80
155,155,16,160,0,80
181,181,26,160,0,100
211,211,43,160,0,110
248,248,74,160,0,110
283,283,93,160,0,120
283,283,93,160,0,120
303,303,89,160,0,120
317,317,65,160,0,120
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
316,316,3,160,0,120
313,313,9,160,0,120
309,309,14,160,0,120
305,305,19,160,0,120
305,305,19,160,0,120
306,306,17,160,0,120
310,310,23,160,0,120
315,315,31,160,0,120
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
232,232,5,160,0,110
228,228,10,160,0,110
228,228,10,160,0,110
229,229,22,160,0,110
248,248,37,160,0,110
278,278,58,160,0,120
292,292,55,160,0,120
307,307,53,160,0,120
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
272,272,3,160,0,120
272,272,3,160,0,120
249,249,15,160,0,110
249,249,15,160,0,110
243,243,25,160,0,110
242,242,43,160,0,110
260,260,71,160,0,120
261,261,97,160,0,120
247,247,104,160,0,110
225,225,113,160,0,110
192,192,126,160,0,100
149,149,122,160,0,80
47,47,15,160,0,60
12,12,25,160,0,60
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
3,3,4,160,0,60
9,9,23,160,0,60
14,14,34,160,0,60
18,18,55,160,0,60
24,24,83,160,0,60
27,27,113,160,0,60
55,55,129,160,0,70
135,135,8,160,0,80
158,158,16,160,0,80
186,186,28,160,0,100
217,217,46,160,0,110
264,264,88,160,0,120
264,264,88,160,0,120
299,299,88,160,0,120
315,315,59,160,0,120
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
316,316,2,160,0,120
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
80.0,80.0,160.0,160,0,70
