x_media,x,y,referencia,ang_control,angulo
131,131,123,160,0,85
132,132,123,160,0,85
132,132,123,160,0,85
132,132,124,160,0,85
132,132,124,160,0,85
132,132,124,160,0,85
132,132,126,160,0,85
132,132,126,160,0,85
133,133,127,160,0,85
134,134,128,160,0,85
136,136,128,160,0,85
138,138,129,160,0,85
138,138,129,160,0,85
140,140,130,160,0,85
143,143,129,160,0,85
146,146,126,160,0,85
152,152,96,160,0,85
152,152,96,160,0,85
162,162,7,160,0,95
165,165,9,160,0,95
169,169,11,160,0,95
172,172,13,160,0,95
172,172,13,160,0,95
176,176,16,160,0,95
180,180,19,160,0,95
182,182,23,160,0,95
182,182,23,160,0,95
183,183,28,160,0,95
185,185,34,160,0,95
185,185,41,160,0,95
187,187,50,160,0,95
187,187,50,160,0,95
188,188,64,160,0,95
191,191,82,160,0,95
193,193,96,160,0,95
193,193,96,160,0,95
195,195,98,160,0,95
196,196,103,160,0,95
197,197,106,160,0,95
199,199,110,160,0,95
199,199,110,160,0,95
201,201,117,160,0,100
203,203,124,160,0,100
204,204,130,160,0,100
200,200,109,160,0,95
200,200,109,160,0,95
181,181,7,160,0,95
181,181,13,160,0,95
179,179,19,160,0,95
176,176,26,160,0,95
176,176,26,160,0,95
175,175,36,160,0,95
174,174,50,160,0,95
175,175,73,160,0,95
175,175,73,160,0,95
176,176,96,160,0,95
174,174,98,160,0,95
173,173,102,160,0,95
171,171,111,160,0,95
171,171,111,160,0,95
170,170,118,160,0,95
167,167,130,160,0,95
163,163,96,160,0,95
157,157,9,160,0,85
157,157,9,160,0,85
156,156,16,160,0,85
155,155,24,160,0,85
152,152,36,160,0,85
151,151,54,160,0,85
151,151,54,160,0,85
152,152,88,160,0,85
157,157,96,160,0,85
166,166,101,160,0,95
179,179,109,160,0,95
179,179,109,160,0,95
192,192,118,160,0,95
206,206,132,160,0,100
199,199,6,160,0,95
209,209,11,160,0,100
209,209,11,160,0,100
216,216,20,160,0,100
222,222,31,160,0,100
228,228,48,160,0,100
228,228,48,160,0,100
240,240,80,160,0,100
244,244,93,160,0,100
244,244,100,160,0,100
244,244,100,160,0,100
245,245,109,160,0,100
248,248,122,160,0,100
253,253,134,160,0,110
197,197,8,160,0,95
197,197,8,160,0,95
195,195,17,160,0,95
193,193,29,160,0,95
192,192,46,160,0,95
192,192,46,160,0,95
193,193,80,160,0,95
187,187,97,160,0,95
180,180,103,160,0,95
172,172,114,160,0,95
172,172,114,160,0,95
164,164,127,160,0,95
142,142,28,160,0,85
132,132,10,160,0,85
126,126,20,160,0,85
126,126,20,160,0,85
120,120,35,160,0,85
110,110,59,160,0,85
100,100,96,160,0,80
100,100,96,160,0,80
98,98,100,160,0,80
101,101,109,160,0,85
105,105,123,160,0,85
105,105,123,160,0,85
108,108,142,160,0,85
144,144,9,160,0,85
156,156,17,160,0,85
171,171,31,160,0,95
171,171,31,160,0,95
186,186,56,160,0,95
202,202,93,160,0,100
223,223,102,160,0,100
246,246,110,160,0,100
246,246,110,160,0,100
270,270,125,160,0,110
275,275,103,160,0,110
256,256,12,160,0,110
256,256,12,160,0,110
262,262,23,160,0,110
270,270,38,160,0,110
280,280,64,160,0,110
284,284,85,160,0,110
284,284,85,160,0,110
278,278,95,160,0,110
270,270,107,160,0,110
258,258,121,160,0,110
242,242,132,160,0,100
242,242,132,160,0,100
166,166,9,160,0,95
149,149,19,160,0,85
129,129,34,160,0,85
129,129,34,160,0,85
105,105,60,160,0,85
77,77,96,160,0,80
48,48,103,160,0,70
26,26,112,160,0,70
26,26,112,160,0,70
15,15,131,160,0,70
43,43,6,160,0,70
44,44,15,160,0,70
44,44,15,160,0,70
50,50,27,160,0,70
54,54,41,160,0,80
64,64,70,160,0,80
64,64,70,160,0,80
81,81,94,160,0,80
113,113,100,160,0,85
153,153,112,160,0,85
193,193,127,160,0,95
193,193,127,160,0,95
252,252,6,160,0,110
281,281,16,160,0,110
305,305,29,160,0,110
305,305,29,160,0,110
318,318,9,160,0,110
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
80.0,80.0,160.0,160,0,80
