x_media,x,y,referencia,ang_control,angulo
157.6,148,114,160,0,90
155.2,148,114,160,0,90
152.8,148,113,160,0,90
150.4,148,113,160,0,90
148,148,113,160,0,85
148,148,114,160,0,85
148,148,114,160,0,85
148,148,114,160,0,85
148,148,114,160,0,85
148,148,114,160,0,85
148.2,149,115,160,0,85
148.6,150,115,160,0,85
149.2,151,115,160,0,85
149.8,151,115,160,0,85
150.8,153,116,160,0,90
151.8,154,116,160,0,90
153,156,116,160,0,90
154.2,157,116,160,0,90
155.4,157,116,160,0,90
156.6,159,113,160,0,90
158,161,100,160,0,90
159.2,162,15,160,0,90
160.2,162,17,160,0,90
161.2,162,17,160,0,90
161.8,162,19,160,0,90
162,162,22,160,0,90
162,162,25,160,0,90
162,162,30,160,0,90
162,162,30,160,0,90
162.2,163,36,160,0,90
162.4,163,43,160,0,90
162.8,164,50,160,0,90
163.2,164,50,160,0,90
163.8,165,59,160,0,90
164.4,166,71,160,0,90
165.2,167,87,160,0,90
166.2,169,103,160,0,90
167.4,170,105,160,0,90
168.4,170,105,160,0,90
169.2,170,108,160,0,90
170,171,110,160,0,90
170.4,171,112,160,0,95
170.8,172,115,160,0,95
171.4,173,118,160,0,95
172,173,118,160,0,95
172.4,173,120,160,0,95
172,169,95,160,0,95
169.6,160,17,160,0,90
167,160,17,160,0,90
163.6,156,21,160,0,90
159,150,27,160,0,90
154,144,37,160,0,90
149.4,137,51,160,0,85
144.8,137,51,160,0,85
139.8,131,66,160,0,85
135.2,127,89,160,0,85
131.4,125,103,160,0,85
128.4,122,106,160,0,85
125.4,122,106,160,0,85
123.4,121,110,160,0,85
122.6,123,113,160,0,85
123,127,116,160,0,85
125,132,117,160,0,85
129.2,143,43,160,0,85
135,150,19,160,0,85
141.2,154,25,160,0,85
147.6,159,37,160,0,85
154,164,52,160,0,90
159.8,172,72,160,0,90
165.8,180,101,160,0,90
172.6,188,106,160,0,95
180.6,199,110,160,0,95
188.2,202,105,160,0,95
196.6,214,116,160,0,95
203.6,215,116,160,0,95
204.2,191,15,160,0,95
202.6,191,15,160,0,95
200,189,21,160,0,95
194.4,186,32,160,0,95
188,183,46,160,0,95
186,181,66,160,0,95
184,181,66,160,0,95
182.4,181,97,160,0,95
179.4,171,104,160,0,95
174.4,158,108,160,0,95
166.8,143,113,160,0,90
156,127,117,160,0,90
145.2,127,117,160,0,85
133.2,111,104,160,0,85
120.2,93,18,160,0,85
107.6,80,27,160,0,80
95.6,67,43,160,0,80
81.2,55,65,160,0,80
67.4,42,98,160,0,75
56.6,39,104,160,0,75
48.4,39,109,160,0,75
43.4,42,113,160,0,75
42.2,49,116,160,0,75
46.8,65,109,160,0,75
63,120,16,160,0,75
82.8,138,24,160,0,80
