x_media,x,y,referencia,ang_control,angulo
159.85714285714286,159,80,160,0,76.5
159.71428571428572,159,80,160,0,76.5
159.57142857142858,159,80,160,0,76.5
159.57142857142858,160,80,160,0,76.5
159.71428571428572,161,79,160,0,76.5
159.85714285714286,161,79,160,0,76.5
159.85714285714286,160,79,160,0,76.5
160,160,80,160,0,76.5
160,159,80,160,0,76.5
159.57142857142858,156,81,160,0,76.5
159,156,81,160,0,76.5
157.85714285714286,153,82,160,0,76.5
156,148,83,160,0,76.5
153.71428571428572,144,84,160,0,76.5
151,141,85,160,0,76.5
147.85714285714286,137,86,160,0,76.5
144.85714285714286,135,86,160,0,76.5
141.57142857142858,133,87,160,0,76.5
138.28571428571428,130,88,160,0,76.5
135.71428571428572,130,88,160,0,76.5
133.71428571428572,130,88,160,0,76.5
132,129,88,160,0,76.5
130.85714285714286,129,89,160,0,76.5
130,129,89,160,0,76.5
129.28571428571428,128,89,160,0,76.5
129,128,90,160,0,76.5
128.57142857142858,127,90,160,0,76.5
128.14285714285714,127,90,160,0,76.5
127.85714285714286,127,90,160,0,76.5
127.57142857142857,127,90,160,0,76.5
127.28571428571429,127,90,160,0,76.5
127.14285714285714,127,90,160,0,76.5
127,127,90,160,0,76.5
127,127,90,160,0,76.5
127,127,89,160,0,76.5
127,127,89,160,0,76.5
126.85714285714286,126,89,160,0,76.5
126.85714285714286,127,89,160,0,76.5
126.85714285714286,127,89,160,0,76.5
126.85714285714286,127,89,160,0,76.5
126.71428571428571,126,88,160,0,76.5
126.71428571428571,127,88,160,0,76.5
126.71428571428571,127,88,160,0,76.5
126.85714285714286,127,87,160,0,76.5
127,128,87,160,0,76.5
127.14285714285714,128,87,160,0,76.5
127.28571428571429,128,87,160,0,76.5
127.57142857142857,128,87,160,0,76.5
127.71428571428571,128,86,160,0,76.5
127.85714285714286,128,86,160,0,76.5
128,128,86,160,0,76.5
128,128,86,160,0,76.5
128,128,86,160,0,76.5
128.14285714285714,129,85,160,0,76.5
128.28571428571428,129,85,160,0,76.5
128.42857142857142,129,85,160,0,76.5
128.57142857142858,129,85,160,0,76.5
128.71428571428572,129,85,160,0,76.5
128.85714285714286,129,85,160,0,76.5
129,129,85,160,0,76.5
129,129,85,160,0,76.5
129,129,85,160,0,76.5
129,129,85,160,0,76.5
129,129,85,160,0,76.5
129,129,85,160,0,76.5
